1,bad ar mirtavs :(this device can not gaim super user permisions. ra vqna? mob 558525164
5,Works! Madloba Lado! Fast and easy installation on my SE Xperia PLAY AT@T. Now I can read online news and Georgian web pages!
3,works great! I've installed this app on my htc explorer and it worked just fine. Just asked for root permission and did all job by itself. Great work!
3,At&t problem Gaasworet raa, at&t atrixze off updates mere ar instalirdeba.
3,Help MiSvelet rame moigonet axali fonti compatible with android, yvela telefoni darutvas itxovs, winaswar madloba
1,?????????? ???????????? ?????????? ????????? ?????. ????????????. ?????????? ?? ???? ?????? ?????? ????????? ?????. ?? ????????? >>> "Samsung owners: Please note, that it patches only the default fonts, so if it should work but it does not, check if you have switched to other fonts from the settings menu of you device." ????????? Samsung Galaxy Y Pro Duos B5512. ????? ???????? ???? ???????? ??????????... Anyways thanks for Author's effort!
5,great app works just fine
5,Good app Thank you Lado;-)
1,cudia mec magas miwers rac imas dauwera super userze
5,????? x8 ?? ?? ??????? ?????? 4.0.4 ??????? ?? invalid package-? ??????
5,Cool Man you the best!!!! Egreve .
5,HTC Desire ar yendeba Sad unda vnaxo logi xom ver damexmarebit romel directoriashi logirdeba
5,Works Easily installed.
2,Tato.daf@gmail.xom Interesting
5,Awesome Thanks! Works perfect
3,hi good
4,Kutsia HTC Chacha ?? ??? ??????? ??? ??????? ???????????
3,Dainstalirebis mere gamovida text inglisurad rom tu kitxulobt shemdeg texqsts ... Dainstalirebis mere gamovida text inglisurad rom tu kitxulobt shemdeg texqsts qartul enaze daachiret dainstalirebis gagrdzelebaso,es texti kubikebadaa
5,Works as advertised! Just restart like it says!
5,Ok Madras mishaobs, sagol lado
