5,Great App
1,It was a great app... Bad app now because you took disconect option away..every time the wifi is turned on it drains the battery even tho you are not using the program!!
4,Can't disconnect. I'm curious to see how this kind of app management will work. Yet again, it would have been nice to still have the option to manually turn it off.
2,Can't disconnect I can no longer disconnect. Please fix this. Otherwise fine.
4,Very Good But... Very simple and intuitive wallet app. More advanced features such as being able to customise the denomination displayed (microbitcoins, with the name set as "bits" as some people are advocating for example). And public notes/messages with transactions would be nice.
4,Works very well! Mostly! Works as it should, but once you start getting a bunch of transactions in there (15+) the app starts slowing down. Need to reset and download block chain info again when you have 30+? No, the app didn't hang, just be prepared to wait a good while.
4,Some things that I miss A pin code to verify transfers Share the app with friends on various nets. Like Candy crush
5,Responsive developer I was concerned about the recent removal of the disconnect option from the menu. Not to worry! The app will intelligently disconnect by itself. The disconnect option only stored the current connections and it would have checked in automatically in a few minutes, so it really wasn't an "off" button anyway. Many thanks to the developer who patiently responded to my many questions.
5,It works nao Yay
5,Can't Send Coins Finally got it to work! User error.
5,Great Very well done
2,Not as good as it was. Please please bring back the "disconnect" option.
3,Goood
5,Perfect
5,Hey mom send me bitcoins! Thank you for any kind of donation! 1PrPXUY4MQZvRYAdfseuqGFvSgpFtvrbJC Chive on!
5,Quick and well-designed The app is well-designed, easy to use (for a Bitcoin app), and is always responsive. Nice work!
1,Background resources usage! Catches up with the block chain on the background without any user control over it. Wastes data unless system-limited not to consume data on background (not available on older OS versions or on WiFi). Wastes battery (just reported it to waste 19% of it). The dev actively rejects this being an issue (see the replies on other comments).
5,Excellent wallet Quickly updated and easy to use. Works perfectly!
4,Nice app Would be great if one could include a public note (block chain) when sending a transaction
4,Design Easy-to-read layout!
1,What's happened to Disconnect option? Bugger this app eats resources now.. Disconnect was useful!
2,Battery drain Agree the network usage is low (although I'd still prefer an option to turn off background updating), but a lot of wakelocks, leading to increased battery drain. Will need to uninstall until this is fixed.
3,Latest update What happened to the Disconnect option? I didn't mind the frequent starting up as long as could Disconnect if needed.
4,Nice There are still room for improvement but in general it's good.
5,Hands down the best app for Bitcoin Works perfect. Lets you see your confirmations. Easy to use. Leaves YOU in control of your Bitcoin. I would love to be able to sign messages though.
5,Good app Good
4,ZAR exchange Please add ZAR... Thanks Edited: thanks for adding it
5,This is the app that caused me to ditch my iPhone.
5,Hidden fees on send BTC Hope to not do mining in the background as the cpu is high for this process.
5,great app best android wallet...
5,Keep starting by itself and suck my battery. Me and 3 of my friends all have the same complain, where is the option for it not to autostart? Please allow us to choose out price source, or at least make it easy to know where it takes the price from. I really wish we could export and import private keys. This ans having a PIN, to protect from launching the app.
4,Great app, but wastes battery This latest update (12-10-13) uses up a lot of battery even with the app never being opened and only running in the background. It's using about 10% of the battery on my Nexus 4 (4.4.2) over the course of the day. That is way too much for an app that I didn't use once today. Fix that and you'll get 5 stars because it is otherwise very well designed. Note: prior to this update the battery usage was significantly less (always on the bottom of my battery utilisation reports)
5,Great app. Clearly the best Bitcoin app out there. This app is worth 5 stars regardless of the battery drain problem being reported which only seems to affect my Google Nexus. From looking at your source code it appears to be the same problem I had with my app. It's caused by the receiver registered in the manifest file. I have emailed you more details which I hope helps to fix the problem.
4,Fine app, but where's DKK? I find Bitcoin Wallet a very fine and elegant app. The design is neat, it operates seemlesly and it seems to have a decent amount of features. I'm confused though why the screenshots above show the possibility to have the contents of your wallet converted to DKK when this currency to my regret doesn't seem to be supported by the app that I've downloaded ...
4,Best Bitcoin wallet on Android but wastes airtime/battery. It's gotten better than previous versions, but it still has a flaw. It wastes airtime/battery, by self-activating itself in the background at periodic times and whenever your phone reboots. I, and many others, really wish it wouldn't do this, but author disagrees. Other than that big flaw, this is best Bitcoin wallet for Android... and thus for any phone, since Apple doesn't allow Bitcoin wallets at all on iOS! Four stars (would be five if author allowed background activity to be turned off).
3,works fine Its a bitcoin wallet. it could be even better if we had to enter a PIN-code to open the App, to prevent coin theft if you lose your phone.
4,Balance does not update The balance in local currency (EUR in my case) does not seem to update with up-to-date exchange rates. A quick look at the code shows that it should update every 10 minutes. I can only make it update by force closing and restarting the app.
